Serial number,Time,Status,EacToday(kWh),EacTotal(kWh),Vpv1(V),Vpv2(V),Vpv3(V),Vpv4(V),Vpv5(V),Vpv6(V),Vpv7(V),Vpv8(V),Vpv9(V),Vpv10(V),Vpv11(V),Vpv12(V),Vpv13(V),Vpv14(V),Vpv15(V),Vpv16(V),Ipv1(A),Ipv2(A),Ipv3(A),Ipv4(A),Ipv5(A),Ipv6(A),Ipv7(A),Ipv8(A),Ipv9(A),Ipv10(A),Ipv11(A),Ipv12(A),Ipv13(A),Ipv14(A),Ipv15(A),Ipv16(A),Ppv1(W),Ppv2(W),Ppv3(W),Ppv4(W),Ppv5(W),Ppv6(W),Ppv7(W),Ppv8(W),Ppv9(W),Ppv10(W),Ppv11(W),Ppv12(W),Ppv13(W),Ppv14(W),Ppv15(W),Ppv16(W),Ppv(W),EpvToday(kWh),EpvTotal(kWh),TimeTotal(H),VacRS(V),VacST(V),VacTR(V),IacR(A),IacS(A),IacT(A),PacR(VA),PacS(VA),PacT(VA),VacR(V),VacS(V),VacT(V),Fac(Hz),Pac(W),PF,+BUS(V),-BUS(V),INVTemp(℃),AMTemp1(℃),BTTemp(℃),OUTTemp(℃),AMTemp2(℃),Vstr1(V),Vstr2(V),Vstr3(V),Vstr4(V),Vstr5(V),Vstr6(V),Vstr7(V),Vstr8(V),Vstr9(V),Vstr10(V),Vstr11(V),Vstr12(V),Vstr13(V),Vstr14(V),Vstr15(V),Vstr16(V),Vstr17(V),Vstr18(V),Vstr19(V),Vstr20(V),Vstr21(V),Vstr22(V),Vstr23(V),Vstr24(V),Vstr25(V),Vstr26(V),Vstr27(V),Vstr28(V),Vstr29(V),Vstr30(V),Vstr31(V),Vstr32(V),Istr1(A),Istr2(A),Istr3(A),Istr4(A),Istr5(A),Istr6(A),Istr7(A),Istr8(A),Istr9(A),Istr10(A),Istr11(A),Istr12(A),Istr13(A),Istr14(A),Istr15(A),Istr16(A),Istr17(A),Istr18(A),Istr19(A),Istr20(A),Istr21(A),Istr22(A),Istr23(A),Istr24(A),Istr25(A),Istr26(A),Istr27(A),Istr28(A),Istr29(A),Istr30(A),Istr31(A),Istr32(A),PIDStatus,Vpid1(V),Vpid2(V),Vpid3(V),Vpid4(V),Vpid5(V),Vpid6(V),Vpid7(V),Vpid8(V),Vpid9(V),Vpid10(V),Vpid11(V),Vpid12(V),Vpid13(V),Vpid14(V),Vpid15(V),Vpid(V),Ipid1(mA),Ipid2(mA),Ipid3(mA),Ipid4(mA),Ipid5(mA),Ipid6(mA),Ipid7(mA),Ipid8(mA),Ipid9(mA),Ipid10(mA),Ipid11(mA),Ipid12(mA),Ipid13(mA),Ipid14(mA),Ipid15(mA),Ipid16(mA),PidFaultCode,FaultCode,FaultBit,Subcode(fault/warn),WarnCode,WarnBit,StrUnmatch,StrUnblance,StrBreak,WarnValue1,WarnValue2,WarnValue3,FaultValue,DerateMode,PV ISO(KΩ),R_DCI(mA),S_DCI(mA),T_DCI(mA),PID_BUS(V),GFCI(mA),SVG/APF Status,CT_I_R(A),CT_I_S(A),CT_I_T(A),CT_Q_R(Var),CT_Q_S(Var),CT_Q_T(Var),CT_HAR_I_R(A),CT_HAR_I_S(A),CT_HAR_I_T(A),COMP_Q_R(Var),COMP_Q_S(Var),COMP_Q_T(Var),COMP_HAR_I_R(A),COMP_HAR_I_S(A),COMP_HAR_I_T(A),Debug1,Debug2,Debug3,ReactPower(Var),ReactPowerMax(Var),ReactPower_Total(kWh),isAgain,AfciStatus,StrengthPv1,StrengthPv2,Pstr1(W),Pstr2(W),Pstr3(W),Pstr4(W),Pstr5(W),Pstr6(W),Pstr7(W),Pstr8(W),Pstr9(W),Pstr10(W),Pstr11(W),Pstr12(W),Pstr13(W),Pstr14(W),Pstr15(W),Pstr16(W),Pstr17(W),Pstr18(W),Pstr19(W),Pstr20(W),Pstr21(W),Pstr22(W),Pstr23(W),Pstr24(W),Pstr25(W),Pstr26(W),Pstr27(W),Pstr28(W),Pstr29(W),Pstr30(W),Pstr31(W),Pstr32(W),Total_String_Power(W),Conversion_Efficiency(%),String_Power_CV(%),Temp_Range(℃)
GKLKE8L01C,,Standby,126.6,11901.8,53.9,53.8,54.0,53.8,53.8,53.9,53.6,53.9,53.9,54.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,37.5,111.9,10472.2,212.0,395.0,387.8,390.1,0.0,0.0,0.0,0.0,0.0,0.0,228.7,226.6,221.8,49.9,0.0,1,0.0,0.0,30.6,39.6,30.2,0,31.2,53.9,53.9,53.8,53.8,54.0,54.0,53.8,53.8,53.8,53.8,53.9,53.9,53.6,53.6,53.9,53.9,53.9,53.9,54.0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,501.9,501.9,501.9,501.8,501.8,501.8,501.8,501.8,0,0,0,0,0,0,0,0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,2392,0.0,0.0,0.0,658.4,28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,0，21，0，0，0，100，1，98,0，0，0，0，0，0，0，0,0.0,60546.8,214.0,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,39.6
GKLKE8L01C,,Standby,126.6,11901.8,53.9,53.8,54.0,53.7,53.8,53.8,53.6,53.9,53.9,54.1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,37.5,111.9,10472.2,212.0,395.4,387.8,390.6,0.0,0.0,0.0,0.0,0.0,0.0,228.8,226.9,222.2,49.9,0.0,1,0.0,0.0,30.5,39.6,30.1,0,31.2,53.9,53.9,53.8,53.8,54.0,54.0,53.8,53.8,53.8,53.8,53.9,53.9,53.6,53.6,53.9,53.9,53.9,53.9,54.1,54.1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,501.9,501.9,501.9,501.8,501.8,501.8,501.8,501.8,0,0,0,0,0,0,0,0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,2392,0.0,0.0,0.0,658.5,28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,0，21，0，0，0，100，1，88,0，0，0，0，0，0，0，0,0.0,60546.8,214.0,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,39.6
GKLKE8L01C,,Standby,126.6,11901.8,53.9,53.8,54.0,53.7,53.8,53.8,53.6,53.9,53.9,54.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,37.5,101.6,10472.2,212.0,394.8,387.8,390.3,0.0,0.0,0.0,0.0,0.0,0.0,228.4,226.7,222.2,50.0,0.0,1,0.0,0.0,30.5,39.6,30.1,0,31.2,53.9,53.9,53.7,53.7,54.0,54.0,53.7,53.7,53.8,53.8,53.8,53.8,53.6,53.6,53.9,53.9,53.9,53.9,54.0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,501.9,501.9,501.9,501.8,501.8,501.8,501.8,501.8,0,0,0,0,0,0,0,0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,2392,0.0,0.0,0.0,658.3,28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,0，21，0，0，0，100，1，2,0，0，0，0，0，0，0，0,0.0,60546.8,214.0,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,39.6
GKLKE8L01C,,Standby,0.0,11901.8,53.9,53.8,54.0,53.7,53.8,53.8,53.6,53.9,53.9,54.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,42.9,0.0,10472.2,212.0,394.7,387.6,390.0,0.0,0.0,0.0,0.0,0.0,0.0,228.3,226.6,222.0,50.0,0.0,1,0.0,0.0,30.5,39.6,30.1,0,31.2,53.9,53.9,53.8,53.8,54.0,54.0,53.7,53.7,53.8,53.8,53.8,53.8,53.6,53.6,53.9,53.9,53.9,53.9,54.0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,501.9,501.9,501.9,501.8,501.8,501.8,501.8,501.8,0,0,0,0,0,0,0,0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,2392,0.0,0.0,0.0,658.5,28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,0，21，0，0，0，100，1，90,0，0，0，0，0，0，0，0,0.0,60546.8,214.0,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,39.6
GKLKE8L01C,,Standby,0.0,11901.8,53.9,53.8,54.0,53.7,53.8,53.8,53.6,53.9,53.9,54.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,42.9,0.0,10472.2,212.0,394.9,388.0,390.5,0.0,0.0,0.0,0.0,0.0,0.0,228.7,226.6,222.1,50.0,0.0,1,0.0,0.0,30.5,39.5,30.0,0,31.1,53.9,53.9,53.7,53.7,54.0,54.0,53.7,53.7,53.8,53.8,53.8,53.8,53.6,53.6,53.9,53.9,53.9,53.9,54.0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,501.8,501.8,501.8,501.9,501.9,501.9,501.9,501.9,0,0,0,0,0,0,0,0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,2392,0.0,0.0,0.0,658.4,28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,0，21，0，0，0，100，1，16,0，0，0，0，0，0，0，0,0.0,60546.8,214.0,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,39.5
GKLKE8L01C,,Standby,0.0,11901.8,53.9,53.7,54.0,53.7,53.8,53.8,53.6,53.9,53.8,53.8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,42.9,0.0,10472.2,212.0,395.6,388.9,391.0,0.0,0.0,0.0,0.0,0.0,0.0,228.8,227.3,222.6,50.0,0.0,1,0.0,0.0,30.4,39.5,30.0,0,31.1,53.9,53.9,53.7,53.7,54.0,54.0,53.7,53.7,53.8,53.8,53.8,53.8,53.5,53.5,53.9,53.9,53.8,53.8,53.8,53.8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,501.8,501.8,501.8,501.8,501.8,501.8,501.8,501.8,0,0,0,0,0,0,0,0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,2392,0.0,0.0,0.0,658.6,28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,0，21，0，0，0，100，1，77,0，0，0，0，0，0，0，0,0.0,60546.8,214.0,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,39.5
GKLKE8L01C,,Standby,0.0,11901.8,53.9,53.8,54.0,53.7,53.8,53.8,53.6,53.9,53.9,53.9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,42.9,0.0,10472.2,212.0,395.2,388.2,390.5,0.0,0.0,0.0,0.0,0.0,0.0,228.6,227.0,222.3,50.0,0.0,1,0.0,0.0,30.4,39.5,30.0,0,31.0,53.9,53.9,53.8,53.8,54.0,54.0,53.7,53.7,53.8,53.8,53.8,53.8,53.6,53.6,53.9,53.9,53.9,53.9,53.9,53.9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,501.8,501.8,501.8,501.9,501.9,501.9,501.9,501.9,0,0,0,0,0,0,0,0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,2392,0.0,0.0,0.0,658.4,28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,0，21，0，0，0，100，1，32,0，0，0，0，0，0，0，0,0.0,60546.8,214.0,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,39.5
GKLKE8L01C,,Standby,0.0,11901.8,53.9,53.8,54.0,53.7,53.8,53.8,53.6,53.9,53.9,54.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,42.9,0.0,10472.2,212.0,395.5,388.6,390.9,0.0,0.0,0.0,0.0,0.0,0.0,229.0,227.0,222.4,50.0,0.0,1,0.0,0.0,30.4,39.4,29.9,0,31.0,53.9,53.9,53.7,53.7,54.0,54.0,53.7,53.7,53.8,53.8,53.8,53.8,53.6,53.6,53.9,53.9,53.9,53.9,54.0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,501.9,501.9,501.9,501.8,501.8,501.8,501.8,501.8,0,0,0,0,0,0,0,0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,2392,0.0,0.0,0.0,658.4,28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,0，21，0，0，0，100，1，92,0，0，0，0，0，0，0，0,0.0,60546.8,214.0,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,39.4
GKLKE8L01C,,Standby,0.0,11901.8,53.9,53.8,54.0,53.7,53.8,53.8,53.6,53.9,53.9,53.9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,42.9,0.0,10472.2,212.0,395.7,388.4,390.9,0.0,0.0,0.0,0.0,0.0,0.0,228.6,227.3,222.5,50.0,0.0,1,0.0,0.0,30.3,39.4,29.7,0,31.0,53.9,53.9,53.8,53.8,54.0,54.0,53.7,53.7,53.8,53.8,53.8,53.8,53.6,53.6,53.9,53.9,53.9,53.9,53.9,53.9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,501.8,501.8,501.8,501.8,501.8,501.8,501.8,501.8,0,0,0,0,0,0,0,0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,2392,0.0,0.0,0.0,658.5,28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,0，21，0，0，0，100，1，2,0，0，0，0，0，0，0，0,0.0,60546.8,214.0,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,39.4
GKLKE8L01C,,Standby,0.0,11901.8,53.9,53.7,54.0,53.7,53.8,53.8,53.6,53.9,53.9,54.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,42.9,0.0,10472.2,212.0,395.0,387.8,390.5,0.0,0.0,0.0,0.0,0.0,0.0,228.7,226.8,222.0,50.0,0.0,1,0.0,0.0,30.3,39.4,29.6,0,31.0,53.9,53.9,53.8,53.8,54.0,54.0,53.7,53.7,53.8,53.8,53.8,53.8,53.6,53.6,53.9,53.9,53.9,53.9,54.0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,501.9,501.9,501.9,501.8,501.8,501.8,501.8,501.8,0,0,0,0,0,0,0,0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,0,-0.1,0,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,2392,0.0,0.0,0.0,658.4,28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0，0，0，320，518，200，0，5400,0，21，0，0，0，100，1，14,0，0，0，0，0，0，0，0,0.0,60546.8,214.0,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,39.4
